Code_Projet,Nom_Client,Reference_Commande,Montant_HT,Date_Creation
DRC0018,Client_78,CMD10057,5986.08,2024-02-03
DRC0020,Client_153,CMD10058,7822.05,2024-03-22
DRC0050,Client_271,CMD10059,4691.21,2024-03-27
DRC0006,Client_241,CMD10060,3112.69,2024-04-18
DRC0028,Client_207,CMD10061,4695.68,2024-04-22
DRC0076,Client_178,CMD10062,9074.14,2024-04-28
DRC0095,Client_118,CMD10063,1880.05,2024-07-04
DRC0069,Client_152,CMD10064,3438.7,2024-01-10
DRC0010,Client_14,CMD10065,8594.76,2024-03-27
DRC0088,Client_225,CMD10066,6391.11,2024-04-20
DRC0057,Client_169,CMD10067,2969.67,2024-01-20
DRC0045,Client_165,CMD10068,9476.61,2024-03-19
DRC0023,Client_218,CMD10069,2127.37,2024-04-08
DRC0053,Client_198,CMD10070,5849.69,2024-02-18
DRC0081,Client_19,CMD10071,7869.55,2024-03-14
DRC0002,Client_79,CMD10072,7493.83,2024-01-03
DRC0028,Client_69,CMD10073,9445.28,2024-02-27
DRC0100,Client_171,CMD10074,1618.24,2024-04-05
DRC0097,Client_26,CMD10075,540.13,2024-05-17
DRC0059,Client_268,CMD10076,9045.98,2024-07-04
DRC0088,Client_244,CMD10077,5293.37,2024-04-05
DRC0034,Client_260,CMD10078,5103.42,2024-01-24
DRC0053,Client_260,CMD10079,1392.53,2024-02-21
DRC0002,Client_133,CMD10080,5544.8,2024-04-02
DRC0022,Client_180,CMD10081,1375.8,2024-01-27
DRC0015,Client_150,CMD10082,7096.45,2024-02-16
DRC0034,Client_6,CMD10083,1345.1,2024-06-28
DRC0078,Client_295,CMD10084,1670.37,2024-01-19
DRC0011,Client_173,CMD10085,6609.71,2024-07-14
DRC0024,Client_213,CMD10086,758.61,2024-06-20
DRC0031,Client_205,CMD10087,1799.54,2024-04-10
DRC0069,Client_125,CMD10088,8525.6,2024-03-07
DRC0049,Client_162,CMD10089,3645.01,2024-03-07
DRC0041,Client_171,CMD10090,3130.26,2024-07-03
DRC0076,Client_257,CMD10091,3770.34,2024-04-07
DRC0080,Client_4,CMD10092,6021.45,2024-06-15
DRC0093,Client_124,CMD10093,964.92,2024-04-05
DRC0061,Client_143,CMD10094,1278.75,2024-05-20
DRC0052,Client_25,CMD10095,3539.69,2024-03-16
DRC0083,Client_124,CMD10096,9703.52,2024-02-17
DRC0096,Client_230,CMD10097,857.87,2024-05-11
DRC0029,Client_224,CMD10098,5527.78,2024-05-31
DRC0086,Client_270,CMD10099,314.01,2024-07-10
DRC0011,Client_38,CMD10100,9019.83,2024-02-27
DRC0077,Client_64,CMD10101,2774.35,2024-05-02
DRC0084,Client_90,CMD10102,8854.48,2024-05-15
DRC0045,Client_252,CMD10103,5866.77,2024-02-16
DRC0051,Client_49,CMD10104,4668.18,2024-05-28
DRC0080,Client_195,CMD10105,9189.15,2024-07-08
DRC0091,Client_162,CMD10106,8165.12,2024-05-26
DRC0024,Client_294,CMD10107,2709.72,2024-04-23
DRC0094,Client_200,CMD10108,6632.78,2024-01-10
DRC0026,Client_174,CMD10109,8836.76,2024-04-08
DRC0086,Client_260,CMD10110,809.17,2024-03-19
DRC0075,Client_105,CMD10111,1627.78,2024-01-28
DRC0098,Client_268,CMD10112,845.86,2024-05-22
DRC0056,Client_86,CMD10113,6547.31,2024-03-31
DRC0095,Client_154,CMD10114,4824.27,2024-04-05
DRC0080,Client_28,CMD10115,6010.53,2024-06-20
DRC0031,Client_209,CMD10116,1299.79,2024-04-02
DRC0063,Client_271,CMD10117,5697.85,2024-07-19
DRC0031,Client_65,CMD10118,4622.74,2024-05-30
DRC0038,Client_228,CMD10119,6033.81,2024-01-26
DRC0019,Client_196,CMD10120,3743.44,2024-05-12
DRC0066,Client_299,CMD10121,1283.31,2024-03-27
DRC0014,Client_18,CMD10122,1183.17,2024-05-10
DRC0063,Client_232,CMD10123,975.02,2024-01-14
DRC0093,Client_204,CMD10124,8079.73,2024-04-22
DRC0017,Client_60,CMD10125,3718.5,2024-02-15
DRC0030,Client_177,CMD10126,1817.25,2024-04-05
DRC0043,Client_117,CMD10127,6924.65,2024-04-01
DRC0054,Client_257,CMD10128,818.12,2024-06-23
DRC0040,Client_200,CMD10129,2303.18,2024-04-13
DRC0050,Client_3,CMD10130,9729.47,2024-03-24
DRC0099,Client_76,CMD10131,8143.21,2024-07-03
DRC0062,Client_83,CMD10132,663.07,2024-02-10
DRC0033,Client_30,CMD10133,200.43,2024-03-16
DRC0030,Client_200,CMD10134,8711.47,2024-01-02
DRC0005,Client_272,CMD10135,7963.57,2024-01-15
DRC0093,Client_195,CMD10136,2759.99,2024-01-08
DRC0051,Client_178,CMD10137,7176.45,2024-01-24
DRC0018,Client_261,CMD10138,8493.74,2024-05-25
DRC0045,Client_4,CMD10139,3009.8,2024-05-28
DRC0049,Client_55,CMD10140,4138.43,2024-04-25
DRC0089,Client_163,CMD10141,2252.05,2024-03-21
DRC0035,Client_14,CMD10142,3768.56,2024-03-22
DRC0074,Client_288,CMD10143,2446.55,2024-03-03
DRC0043,Client_61,CMD10144,5108.18,2024-03-14
DRC0018,Client_208,CMD10145,415.35,2024-05-11
DRC0077,Client_23,CMD10146,1282.93,2024-01-29
DRC0025,Client_193,CMD10147,3462.72,2024-07-15
DRC0032,Client_36,CMD10148,839.58,2024-06-17
DRC0059,Client_294,CMD10149,5601.0,2024-01-28
DRC0068,Client_145,CMD10150,8947.34,2024-02-28
DRC0088,Client_126,CMD10151,9190.91,2024-01-27
DRC0089,Client_93,CMD10152,9645.35,2024-06-19
DRC0026,Client_276,CMD10153,6881.89,2024-01-23
DRC0043,Client_237,CMD10154,6185.38,2024-05-04
DRC0005,Client_156,CMD10155,6471.18,2024-04-09
DRC0055,Client_146,CMD10156,8923.52,2024-05-20
DRC0047,Client_267,CMD10157,5570.62,2024-06-12
DRC0080,Client_108,CMD10158,2620.06,2024-02-25
DRC0100,Client_10,CMD10159,4118.57,2024-04-14
DRC0064,Client_292,CMD10160,7136.26,2024-05-09
DRC0006,Client_42,CMD10161,897.75,2024-05-05
DRC0055,Client_298,CMD10162,7888.18,2024-05-30
DRC0014,Client_105,CMD10163,173.3,2024-02-08
DRC0096,Client_116,CMD10164,8702.17,2024-01-29
DRC0011,Client_221,CMD10165,215.35,2024-02-25
DRC0060,Client_145,CMD10166,1808.89,2024-04-27
DRC0057,Client_264,CMD10167,2109.64,2024-04-09
DRC0087,Client_75,CMD10168,1738.38,2024-01-29
DRC0036,Client_153,CMD10169,2993.68,2024-01-23
DRC0092,Client_162,CMD10170,9723.18,2024-06-09
DRC0096,Client_150,CMD10171,9151.77,2024-03-23
DRC0060,Client_290,CMD10172,4535.77,2024-06-09
DRC0081,Client_26,CMD10173,8204.37,2024-04-11
DRC0079,Client_166,CMD10174,4028.74,2024-01-18
DRC0092,Client_178,CMD10175,6118.68,2024-01-11
DRC0025,Client_271,CMD10176,6025.94,2024-06-03
DRC0024,Client_138,CMD10177,922.73,2024-05-20
DRC0025,Client_22,CMD10178,9566.07,2024-03-20
DRC0010,Client_86,CMD10179,3091.55,2024-04-03
DRC0024,Client_289,CMD10180,9249.95,2024-03-03
DRC0004,Client_78,CMD10181,8514.17,2024-01-23
DRC0059,Client_37,CMD10182,7663.74,2024-07-18
DRC0098,Client_4,CMD10183,9003.01,2024-03-09
DRC0035,Client_146,CMD10184,1877.3,2024-07-10
DRC0086,Client_168,CMD10185,3149.99,2024-02-27
DRC0048,Client_137,CMD10186,1014.06,2024-01-05
DRC0074,Client_183,CMD10187,286.41,2024-06-01
DRC0038,Client_185,CMD10188,4277.32,2024-01-19
DRC0046,Client_130,CMD10189,9397.07,2024-03-26
DRC0061,Client_131,CMD10190,3843.78,2024-04-01
DRC0028,Client_85,CMD10191,7495.34,2024-05-08
DRC0052,Client_300,CMD10192,8819.06,2024-04-07
DRC0034,Client_111,CMD10193,4723.01,2024-07-05
DRC0011,Client_285,CMD10194,7784.43,2024-02-12
DRC0009,Client_106,CMD10195,4717.85,2024-05-22
DRC0022,Client_102,CMD10196,2359.63,2024-02-07
DRC0049,Client_248,CMD10197,9483.82,2024-06-18
DRC0091,Client_92,CMD10198,8176.12,2024-04-04
DRC0087,Client_72,CMD10199,2456.18,2024-01-30
DRC0054,Client_19,CMD10200,761.27,2024-01-24
DRC0054,Client_78,CMD10201,5076.83,2024-06-27
DRC0026,Client_245,CMD10202,6502.67,2024-01-26
DRC0079,Client_62,CMD10203,7808.55,2024-04-09
DRC0043,Client_101,CMD10204,4753.4,2024-01-24
DRC0047,Client_80,CMD10205,2119.1,2024-01-19
DRC0084,Client_55,CMD10206,3018.99,2024-05-04
DRC0080,Client_86,CMD10207,927.6,2024-07-03
DRC0082,Client_95,CMD10208,5571.0,2024-01-20
DRC0060,Client_299,CMD10209,2300.33,2024-07-18
DRC0020,Client_168,CMD10210,5389.45,2024-01-29
DRC0014,Client_210,CMD10211,3280.31,2024-01-16
DRC0025,Client_265,CMD10212,7076.53,2024-04-21
DRC0064,Client_55,CMD10213,1390.74,2024-02-25
DRC0035,Client_205,CMD10214,5515.29,2024-01-03
DRC0033,Client_186,CMD10215,2133.56,2024-06-12
DRC0046,Client_277,CMD10216,2434.19,2024-06-04
DRC0078,Client_54,CMD10217,3350.46,2024-02-24
DRC0061,Client_68,CMD10218,9606.39,2024-02-04
DRC0073,Client_127,CMD10219,525.81,2024-05-04
DRC0018,Client_278,CMD10220,978.4,2024-06-03
DRC0014,Client_214,CMD10221,2233.6,2024-06-23
DRC0011,Client_20,CMD10222,4765.21,2024-01-17
DRC0063,Client_160,CMD10223,2763.57,2024-07-13
DRC0096,Client_133,CMD10224,7595.35,2024-04-12
DRC0093,Client_202,CMD10225,8678.7,2024-05-21
DRC0089,Client_127,CMD10226,7872.93,2024-01-27
DRC0097,Client_9,CMD10227,5764.44,2024-02-24
DRC0086,Client_48,CMD10228,7079.12,2024-05-03
DRC0029,Client_234,CMD10229,2569.01,2024-02-28
DRC0011,Client_80,CMD10230,4393.29,2024-02-14
DRC0077,Client_246,CMD10231,6027.74,2024-02-14
DRC0086,Client_6,CMD10232,5822.61,2024-03-21
DRC0089,Client_15,CMD10233,2227.69,2024-01-08
DRC0093,Client_198,CMD10234,971.63,2024-05-15
DRC0091,Client_68,CMD10235,2133.03,2024-01-04
DRC0039,Client_275,CMD10236,3282.46,2024-06-24
DRC0035,Client_18,CMD10237,6864.73,2024-04-30
DRC0014,Client_86,CMD10238,4247.28,2024-04-15
DRC0076,Client_284,CMD10239,5214.46,2024-06-04
DRC0014,Client_139,CMD10240,2213.39,2024-06-22
DRC0077,Client_131,CMD10241,7073.06,2024-04-11
DRC0073,Client_241,CMD10242,8120.64,2024-05-05
DRC0073,Client_37,CMD10243,7862.61,2024-04-02
DRC0021,Client_9,CMD10244,823.09,2024-07-19
DRC0003,Client_265,CMD10245,4273.14,2024-03-20
DRC0089,Client_195,CMD10246,1207.38,2024-05-29
DRC0095,Client_75,CMD10247,8413.9,2024-05-27
DRC0030,Client_34,CMD10248,3055.5,2024-06-25
DRC0019,Client_232,CMD10249,6348.75,2024-06-12
DRC0087,Client_118,CMD10250,5012.57,2024-04-03
DRC0012,Client_181,CMD10251,5079.01,2024-06-20
DRC0031,Client_250,CMD10252,2837.99,2024-07-15
DRC0022,Client_173,CMD10253,8119.6,2024-05-15
DRC0087,Client_87,CMD10254,8671.24,2024-05-21
DRC0018,Client_143,CMD10255,3521.44,2024-06-30
DRC0073,Client_47,CMD10256,2343.88,2024-07-01
DRC0021,Client_138,CMD10257,6479.9,2024-05-30
DRC0054,Client_108,CMD10258,8686.08,2024-05-09
DRC0015,Client_181,CMD10259,2466.49,2024-04-13
DRC0020,Client_193,CMD10260,1475.86,2024-07-09
DRC0002,Client_23,CMD10261,8990.91,2024-07-06
DRC0037,Client_278,CMD10262,7999.51,2024-03-02
DRC0027,Client_172,CMD10263,4287.64,2024-07-14
DRC0083,Client_77,CMD10264,6303.18,2024-02-28
DRC0100,Client_28,CMD10265,6148.67,2024-06-13
DRC0079,Client_284,CMD10266,6288.87,2024-01-24
DRC0077,Client_123,CMD10267,7884.1,2024-06-02
DRC0099,Client_129,CMD10268,4275.11,2024-07-12
DRC0026,Client_173,CMD10269,6623.36,2024-06-14
DRC0081,Client_16,CMD10270,9519.58,2024-03-11
DRC0047,Client_51,CMD10271,5096.68,2024-04-19
DRC0024,Client_8,CMD10272,8330.41,2024-05-25
DRC0083,Client_202,CMD10273,8787.36,2024-03-04
DRC0019,Client_297,CMD10274,9684.81,2024-04-05
DRC0048,Client_165,CMD10275,9191.7,2024-01-21
DRC0057,Client_102,CMD10276,8905.18,2024-04-11
DRC0021,Client_19,CMD10277,7835.94,2024-05-24
DRC0008,Client_265,CMD10278,7511.65,2024-05-21
DRC0083,Client_58,CMD10279,6941.35,2024-07-10
DRC0068,Client_51,CMD10280,5276.98,2024-03-05
DRC0097,Client_100,CMD10281,3627.32,2024-07-01
DRC0041,Client_166,CMD10282,5991.83,2024-06-29
DRC0038,Client_263,CMD10283,849.76,2024-01-17
DRC0043,Client_142,CMD10284,2268.75,2024-03-29
DRC0040,Client_230,CMD10285,3485.04,2024-01-30
DRC0012,Client_166,CMD10286,7917.09,2024-02-24
DRC0070,Client_38,CMD10287,5059.47,2024-05-19
DRC0054,Client_268,CMD10288,5517.53,2024-04-07
DRC0018,Client_190,CMD10289,9539.09,2024-04-06
DRC0090,Client_106,CMD10290,1500.65,2024-02-25
DRC0087,Client_172,CMD10291,9947.91,2024-03-06
DRC0003,Client_258,CMD10292,7972.67,2024-03-05
DRC0067,Client_150,CMD10293,211.93,2024-03-11
DRC0051,Client_147,CMD10294,5733.12,2024-07-16
DRC0063,Client_52,CMD10295,4617.7,2024-01-24
DRC0041,Client_20,CMD10296,7904.69,2024-03-16
DRC0075,Client_10,CMD10297,1941.59,2024-06-15
DRC0070,Client_157,CMD10298,3338.23,2024-05-21
DRC0060,Client_5,CMD10299,5409.67,2024-06-22
DRC0087,Client_256,CMD10300,1592.35,2024-03-20
DRC0095,Client_129,CMD10301,9281.87,2024-05-14
DRC0014,Client_272,CMD10302,8139.1,2024-05-11
DRC0100,Client_30,CMD10303,1448.61,2024-02-23
DRC0033,Client_57,CMD10304,8623.62,2024-05-29
DRC0068,Client_71,CMD10305,6477.24,2024-03-07
DRC0071,Client_20,CMD10306,8878.35,2024-04-14
DRC0065,Client_51,CMD10307,7388.89,2024-06-27
DRC0068,Client_34,CMD10308,3030.19,2024-05-04
DRC0005,Client_123,CMD10309,8183.5,2024-04-25
DRC0057,Client_17,CMD10310,6105.97,2024-06-02
DRC0068,Client_192,CMD10311,7866.72,2024-04-03
DRC0023,Client_6,CMD10312,1155.72,2024-01-12
DRC0085,Client_122,CMD10313,3991.83,2024-05-22
DRC0025,Client_218,CMD10314,5034.87,2024-01-17
DRC0039,Client_55,CMD10315,6508.0,2024-07-14
DRC0097,Client_35,CMD10316,1659.53,2024-02-17
DRC0017,Client_290,CMD10317,3779.34,2024-01-27
DRC0081,Client_220,CMD10318,3693.63,2024-04-03
DRC0020,Client_283,CMD10319,544.11,2024-02-25
DRC0005,Client_235,CMD10320,7321.68,2024-05-18
DRC0093,Client_134,CMD10321,8780.51,2024-06-01
DRC0007,Client_1,CMD10322,3748.72,2024-05-11
DRC0034,Client_166,CMD10323,1804.24,2024-01-09
DRC0059,Client_210,CMD10324,4710.25,2024-05-11
DRC0026,Client_101,CMD10325,8748.75,2024-02-23
DRC0026,Client_104,CMD10326,5052.19,2024-03-22
DRC0100,Client_235,CMD10327,7449.81,2024-02-29
DRC0021,Client_77,CMD10328,3159.07,2024-02-24
DRC0019,Client_188,CMD10329,549.56,2024-03-03
DRC0030,Client_39,CMD10330,822.78,2024-04-30
DRC0073,Client_141,CMD10331,6795.65,2024-01-03
DRC0054,Client_269,CMD10332,1701.21,2024-06-01
DRC0075,Client_185,CMD10333,1716.79,2024-02-28
DRC0092,Client_195,CMD10334,3753.01,2024-05-07
DRC0017,Client_263,CMD10335,7479.55,2024-03-18
DRC0081,Client_161,CMD10336,4981.94,2024-07-12
DRC0039,Client_183,CMD10337,6054.74,2024-06-18
DRC0045,Client_199,CMD10338,6462.18,2024-04-24
DRC0080,Client_226,CMD10339,7651.78,2024-04-18
DRC0070,Client_49,CMD10340,9871.38,2024-01-01
DRC0051,Client_97,CMD10341,8270.9,2024-05-22
DRC0048,Client_5,CMD10342,329.75,2024-03-04
DRC0081,Client_127,CMD10343,5729.49,2024-01-05
DRC0012,Client_19,CMD10344,3972.05,2024-02-11
DRC0080,Client_244,CMD10345,6974.96,2024-02-10
DRC0040,Client_90,CMD10346,247.2,2024-05-26
DRC0027,Client_147,CMD10347,1348.73,2024-06-18
DRC0086,Client_263,CMD10348,8435.14,2024-02-08
DRC0076,Client_49,CMD10349,1704.62,2024-01-03
DRC0013,Client_240,CMD10350,1900.91,2024-01-08
DRC0057,Client_202,CMD10351,2568.64,2024-03-31
DRC0003,Client_278,CMD10352,927.72,2024-02-13
DRC0003,Client_162,CMD10353,8166.95,2024-05-12
DRC0086,Client_287,CMD10354,7826.02,2024-07-11
DRC0077,Client_58,CMD10355,6132.95,2024-03-04
DRC0023,Client_9,CMD10356,5125.84,2024-02-03
DRC0037,Client_53,CMD10357,7613.68,2024-04-09
DRC0029,Client_199,CMD10358,4030.03,2024-01-18
DRC0033,Client_50,CMD10359,5423.96,2024-03-15
DRC0016,Client_205,CMD10360,2940.65,2024-03-27
DRC0092,Client_20,CMD10361,4545.62,2024-04-30
DRC0011,Client_93,CMD10362,3567.36,2024-01-15
DRC0024,Client_85,CMD10363,6935.64,2024-03-04
DRC0100,Client_271,CMD10364,7229.76,2024-02-24
DRC0015,Client_215,CMD10365,3369.99,2024-06-29
DRC0011,Client_20,CMD10366,1496.16,2024-04-05
DRC0015,Client_131,CMD10367,8917.14,2024-07-14
DRC0079,Client_23,CMD10368,293.25,2024-01-07
DRC0028,Client_95,CMD10369,7201.99,2024-03-03
DRC0007,Client_141,CMD10370,2813.42,2024-02-04
DRC0043,Client_245,CMD10371,4345.77,2024-05-16
DRC0011,Client_72,CMD10372,6579.8,2024-03-09
DRC0032,Client_132,CMD10373,6389.28,2024-03-10
DRC0057,Client_192,CMD10374,2002.58,2024-06-14
DRC0013,Client_23,CMD10375,7105.68,2024-04-15
DRC0010,Client_280,CMD10376,7181.42,2024-05-09
DRC0049,Client_253,CMD10377,1250.41,2024-03-10
DRC0031,Client_204,CMD10378,8198.94,2024-01-01
DRC0015,Client_62,CMD10379,8514.92,2024-02-06
DRC0098,Client_29,CMD10380,8402.02,2024-04-04
DRC0027,Client_68,CMD10381,149.55,2024-01-17
DRC0023,Client_79,CMD10382,5267.23,2024-05-06
DRC0092,Client_132,CMD10383,3022.95,2024-03-14
DRC0027,Client_174,CMD10384,5997.6,2024-06-07
DRC0027,Client_88,CMD10385,8347.83,2024-04-08
DRC0017,Client_33,CMD10386,7361.25,2024-06-27
DRC0051,Client_129,CMD10387,1911.77,2024-06-13
DRC0038,Client_55,CMD10388,3721.59,2024-05-11
DRC0087,Client_122,CMD10389,3917.19,2024-06-14
DRC0047,Client_69,CMD10390,684.9,2024-03-11
DRC0091,Client_31,CMD10391,7491.19,2024-06-07
DRC0048,Client_290,CMD10392,2169.25,2024-04-22
DRC0083,Client_66,CMD10393,6732.36,2024-03-08
DRC0007,Client_93,CMD10394,4411.75,2024-05-01
DRC0050,Client_5,CMD10395,9375.21,2024-03-30
DRC0094,Client_216,CMD10396,5210.63,2024-01-01
DRC0047,Client_87,CMD10397,7619.91,2024-06-25
DRC0028,Client_85,CMD10398,3009.77,2024-03-16
DRC0019,Client_233,CMD10399,9280.68,2024-06-25
DRC0010,Client_133,CMD10400,9522.53,2024-01-16
DRC0061,Client_232,CMD10401,8218.36,2024-06-20
DRC0008,Client_75,CMD10402,1044.78,2024-04-19
DRC0007,Client_101,CMD10403,5306.69,2024-07-17
DRC0076,Client_118,CMD10404,5218.39,2024-07-04
DRC0031,Client_284,CMD10405,9044.14,2024-03-07
DRC0055,Client_226,CMD10406,853.47,2024-04-23
DRC0023,Client_216,CMD10407,1893.16,2024-03-01
DRC0079,Client_80,CMD10408,1595.13,2024-07-03
DRC0037,Client_75,CMD10409,7647.12,2024-06-08
DRC0056,Client_284,CMD10410,2362.65,2024-06-15
DRC0002,Client_79,CMD10411,5000.17,2024-05-25
DRC0091,Client_160,CMD10412,682.21,2024-07-18
DRC0034,Client_15,CMD10413,4260.92,2024-05-01
DRC0090,Client_49,CMD10414,4733.98,2024-07-06
DRC0044,Client_89,CMD10415,341.95,2024-05-31
DRC0035,Client_161,CMD10416,6341.69,2024-04-04
DRC0019,Client_250,CMD10417,9566.73,2024-07-14
DRC0070,Client_54,CMD10418,9433.88,2024-05-13
DRC0081,Client_32,CMD10419,6765.92,2024-05-03
DRC0015,Client_4,CMD10420,951.27,2024-06-15
DRC0016,Client_105,CMD10421,2420.65,2024-06-08
DRC0070,Client_227,CMD10422,9261.33,2024-02-11
DRC0059,Client_251,CMD10423,9897.87,2024-05-04
DRC0089,Client_134,CMD10424,779.65,2024-04-03
DRC0038,Client_250,CMD10425,2059.0,2024-07-14
DRC0073,Client_45,CMD10426,9964.81,2024-06-08
DRC0001,Client_120,CMD10427,7580.61,2024-03-31
DRC0024,Client_274,CMD10428,3935.31,2024-07-14
DRC0093,Client_188,CMD10429,5780.61,2024-05-27
DRC0056,Client_289,CMD10430,5139.45,2024-07-17
DRC0056,Client_204,CMD10431,8194.99,2024-01-16
DRC0065,Client_270,CMD10432,6526.8,2024-05-05
DRC0027,Client_78,CMD10433,3288.01,2024-06-14
DRC0089,Client_89,CMD10434,2947.26,2024-04-17
DRC0009,Client_213,CMD10435,6274.49,2024-07-18
DRC0021,Client_51,CMD10436,8242.94,2024-03-23
DRC0050,Client_232,CMD10437,2247.86,2024-01-25
DRC0046,Client_226,CMD10438,3049.19,2024-07-11
DRC0039,Client_256,CMD10439,7891.43,2024-06-30
DRC0047,Client_33,CMD10440,6787.75,2024-04-28
DRC0077,Client_3,CMD10441,9231.99,2024-03-22
DRC0057,Client_141,CMD10442,6842.11,2024-06-12
DRC0005,Client_130,CMD10443,7758.66,2024-04-16
DRC0051,Client_27,CMD10444,9727.57,2024-04-17
DRC0079,Client_161,CMD10445,6990.67,2024-05-12
DRC0029,Client_254,CMD10446,7465.94,2024-02-23
DRC0090,Client_143,CMD10447,3984.58,2024-03-05
DRC0087,Client_131,CMD10448,6824.94,2024-02-23
DRC0017,Client_272,CMD10449,3309.88,2024-03-27
DRC0074,Client_90,CMD10450,981.13,2024-02-27
DRC0067,Client_225,CMD10451,4285.12,2024-02-13
DRC0044,Client_220,CMD10452,4271.53,2024-05-28
DRC0072,Client_17,CMD10453,1758.42,2024-06-22
DRC0018,Client_145,CMD10454,3639.5,2024-06-19
DRC0096,Client_55,CMD10455,462.49,2024-01-21
DRC0018,Client_65,CMD10456,1719.98,2024-05-03
DRC0007,Client_206,CMD10457,5959.18,2024-03-25
DRC0086,Client_241,CMD10458,8986.22,2024-07-04
DRC0034,Client_221,CMD10459,8410.29,2024-05-17
DRC0018,Client_28,CMD10460,1707.83,2024-04-10
DRC0029,Client_41,CMD10461,9213.33,2024-01-22
DRC0035,Client_153,CMD10462,5374.78,2024-04-01
DRC0013,Client_298,CMD10463,6476.18,2024-01-22
DRC0097,Client_261,CMD10464,2931.84,2024-02-01
DRC0009,Client_235,CMD10465,9667.37,2024-01-28
DRC0036,Client_286,CMD10466,9955.14,2024-04-03
DRC0074,Client_250,CMD10467,338.82,2024-03-16
DRC0036,Client_151,CMD10468,1693.25,2024-04-26
DRC0099,Client_180,CMD10469,7318.29,2024-07-05
DRC0069,Client_259,CMD10470,6519.39,2024-02-15
DRC0098,Client_206,CMD10471,9995.22,2024-02-27
DRC0030,Client_209,CMD10472,4279.32,2024-04-02
DRC0006,Client_171,CMD10473,2498.51,2024-01-08
DRC0067,Client_85,CMD10474,1614.2,2024-07-09
DRC0057,Client_147,CMD10475,2443.96,2024-05-23
DRC0062,Client_181,CMD10476,9940.15,2024-06-28
DRC0095,Client_109,CMD10477,332.08,2024-03-16
DRC0076,Client_173,CMD10478,1201.81,2024-03-28
DRC0094,Client_112,CMD10479,6167.19,2024-07-17
DRC0033,Client_300,CMD10480,9455.15,2024-05-18
