Projet_ID,Client,Commande_ID,Montant_TTC,Date_Commande
DRC0050,Client_271,CMD10059,5723.28,2024-03-27
DRC0006,Client_241,CMD10060,3797.48,2024-04-18
DRC0177,Client_376,CMD20061,5728.73,2024-04-22
DRC0076,Client_178,CMD10062,11070.45,2024-04-28
DRC0161,Client_379,CMD20063,2218.46,2024-07-04
DRC0069,Client_152,CMD10064,4019.84,2024-01-10
DRC0010,Client_14,CMD10065,10313.71,2024-03-27
DRC0088,Client_225,CMD10066,7669.33,2024-04-20
DRC0057,Client_169,CMD10067,3477.34,2024-01-20
DRC0045,Client_165,CMD10068,11561.46,2024-03-19
DRC0023,Client_218,CMD10069,2510.3,2024-04-08
DRC0053,Client_198,CMD10070,7019.63,2024-02-18
DRC0081,Client_19,CMD10071,9443.46,2024-03-14
DRC0002,Client_79,CMD10072,8992.6,2024-01-03
DRC0028,Client_69,CMD10073,11334.34,2024-02-27
DRC0100,Client_171,CMD10074,1909.52,2024-04-05
DRC0097,Client_26,CMD10075,648.16,2024-05-17
DRC0059,Client_268,CMD10076,10674.26,2024-07-04
DRC0088,Client_244,CMD10077,6246.18,2024-04-05
DRC0034,Client_260,CMD10078,6022.04,2024-01-24
DRC0132,Client_399,CMD20079,1671.04,2024-02-21
DRC0002,Client_133,CMD10080,6542.86,2024-04-02
DRC0022,Client_180,CMD10081,1623.44,2024-01-27
DRC0198,Client_301,CMD20082,8657.67,2024-02-16
DRC0034,Client_6,CMD10083,1587.22,2024-06-28
DRC0131,Client_368,CMD20084,2004.44,2024-01-19
DRC0011,Client_173,CMD10085,7799.46,2024-07-14
DRC0024,Client_213,CMD10086,925.5,2024-06-20
DRC0031,Client_205,CMD10087,2123.46,2024-04-10
DRC0162,Client_330,CMD20088,10230.72,2024-03-07
DRC0049,Client_162,CMD10089,4374.01,2024-03-07
DRC0041,Client_171,CMD10090,3818.92,2024-07-03
DRC0171,Client_391,CMD20091,4524.41,2024-04-07
DRC0080,Client_4,CMD10092,7105.31,2024-06-15
DRC0161,Client_313,CMD20093,1157.9,2024-04-05
DRC0061,Client_143,CMD10094,1560.08,2024-05-20
DRC0105,Client_315,CMD20095,4318.42,2024-03-16
DRC0083,Client_124,CMD10096,11450.15,2024-02-17
DRC0096,Client_230,CMD10097,1029.44,2024-05-11
DRC0029,Client_224,CMD10098,6633.34,2024-05-31
DRC0086,Client_270,CMD10099,376.81,2024-07-10
DRC0011,Client_38,CMD10100,10496.05,2024-02-27
DRC0077,Client_64,CMD10101,3222.53,2024-05-02
DRC0084,Client_90,CMD10102,10448.29,2024-05-15
DRC0113,Client_365,CMD20103,6922.79,2024-02-16
DRC0051,Client_49,CMD10104,5712.63,2024-05-28
DRC0135,Client_375,CMD20105,10843.2,2024-07-08
DRC0091,Client_162,CMD10106,9961.45,2024-05-26
DRC0024,Client_294,CMD10107,3251.66,2024-04-23
DRC0094,Client_200,CMD10108,8042.0,2024-01-10
DRC0135,Client_323,CMD20109,10780.85,2024-04-08
DRC0086,Client_260,CMD10110,971.0,2024-03-19
DRC0075,Client_105,CMD10111,1985.89,2024-01-28
DRC0098,Client_268,CMD10112,1031.95,2024-05-22
DRC0056,Client_86,CMD10113,7856.77,2024-03-31
DRC0095,Client_154,CMD10114,5692.64,2024-04-05
DRC0080,Client_28,CMD10115,7212.64,2024-06-20
DRC0031,Client_209,CMD10116,1559.75,2024-04-02
DRC0063,Client_271,CMD10117,6725.79,2024-07-19
DRC0163,Client_358,CMD20118,5639.74,2024-05-30
DRC0038,Client_228,CMD10119,7119.9,2024-01-26
DRC0121,Client_392,CMD20120,4417.26,2024-05-12
DRC0156,Client_312,CMD20121,1539.97,2024-03-27
DRC0014,Client_18,CMD10122,1396.14,2024-05-10
DRC0063,Client_232,CMD10123,1150.52,2024-01-14
DRC0093,Client_204,CMD10124,9857.27,2024-04-22
DRC0017,Client_60,CMD10125,4536.57,2024-02-15
DRC0128,Client_392,CMD20126,2217.05,2024-04-05
DRC0043,Client_117,CMD10127,8309.58,2024-04-01
DRC0054,Client_257,CMD10128,981.74,2024-06-23
DRC0040,Client_200,CMD10129,2809.88,2024-04-13
DRC0050,Client_3,CMD10130,11869.95,2024-03-24
DRC0099,Client_76,CMD10131,9608.99,2024-07-03
DRC0062,Client_83,CMD10132,782.42,2024-02-10
DRC0033,Client_30,CMD10133,244.52,2024-03-16
DRC0030,Client_200,CMD10134,10627.99,2024-01-02
DRC0005,Client_272,CMD10135,9715.56,2024-01-15
DRC0093,Client_195,CMD10136,3367.19,2024-01-08
DRC0051,Client_178,CMD10137,8499.78,2024-01-24
DRC0018,Client_261,CMD10138,10362.36,2024-05-25
DRC0045,Client_4,CMD10139,3551.56,2024-05-28
DRC0049,Client_55,CMD10140,4883.35,2024-04-25
DRC0104,Client_358,CMD20141,2657.42,2024-03-21
DRC0035,Client_14,CMD10142,4522.27,2024-03-22
DRC0074,Client_288,CMD10143,2886.93,2024-03-03
DRC0043,Client_61,CMD10144,6129.82,2024-03-14
DRC0018,Client_208,CMD10145,490.11,2024-05-11
DRC0077,Client_23,CMD10146,1539.52,2024-01-29
DRC0025,Client_193,CMD10147,4310.88,2024-07-15
DRC0032,Client_36,CMD10148,1024.29,2024-06-17
DRC0059,Client_294,CMD10149,6721.2,2024-01-28
DRC0068,Client_145,CMD10150,10557.86,2024-02-28
DRC0088,Client_126,CMD10151,11029.09,2024-01-27
DRC0089,Client_93,CMD10152,11381.51,2024-06-19
DRC0026,Client_276,CMD10153,8395.91,2024-01-23
DRC0152,Client_355,CMD20154,7196.54,2024-05-04
DRC0005,Client_156,CMD10155,7765.42,2024-04-09
DRC0055,Client_146,CMD10156,10529.75,2024-05-20
DRC0047,Client_267,CMD10157,6684.74,2024-06-12
DRC0080,Client_108,CMD10158,3196.47,2024-02-25
DRC0185,Client_352,CMD20159,4859.91,2024-04-14
DRC0064,Client_292,CMD10160,8706.24,2024-05-09
DRC0006,Client_42,CMD10161,964.62,2024-05-05
DRC0055,Client_298,CMD10162,9465.82,2024-05-30
DRC0014,Client_105,CMD10163,211.43,2024-02-08
DRC0096,Client_116,CMD10164,10442.6,2024-01-29
DRC0180,Client_302,CMD20165,258.42,2024-02-25
DRC0060,Client_145,CMD10166,2170.67,2024-04-27
DRC0057,Client_264,CMD10167,2400.63,2024-04-09
DRC0087,Client_75,CMD10168,2120.82,2024-01-29
DRC0036,Client_153,CMD10169,3652.29,2024-01-23
DRC0092,Client_162,CMD10170,11862.28,2024-06-09
DRC0096,Client_150,CMD10171,10982.12,2024-03-23
DRC0060,Client_290,CMD10172,5442.92,2024-06-09
DRC0081,Client_26,CMD10173,9845.24,2024-04-11
DRC0079,Client_166,CMD10174,4753.91,2024-01-18
DRC0092,Client_178,CMD10175,7342.42,2024-01-11
DRC0195,Client_367,CMD20176,7351.65,2024-06-03
DRC0024,Client_138,CMD10177,1125.73,2024-05-20
DRC0025,Client_22,CMD10178,11287.96,2024-03-20
DRC0010,Client_86,CMD10179,3709.86,2024-04-03
DRC0024,Client_289,CMD10180,10914.94,2024-03-03
DRC0131,Client_361,CMD20181,10046.72,2024-01-23
DRC0059,Client_37,CMD10182,9349.76,2024-07-18
DRC0098,Client_4,CMD10183,10626.2,2024-03-09
DRC0035,Client_146,CMD10184,2215.21,2024-07-10
DRC0086,Client_168,CMD10185,3716.99,2024-02-27
DRC0048,Client_137,CMD10186,1196.59,2024-01-05
DRC0074,Client_183,CMD10187,337.96,2024-06-01
DRC0038,Client_185,CMD10188,5132.78,2024-01-19
DRC0046,Client_130,CMD10189,11464.43,2024-03-26
DRC0061,Client_131,CMD10190,4535.66,2024-04-01
DRC0028,Client_85,CMD10191,8994.41,2024-05-08
DRC0052,Client_300,CMD10192,10582.87,2024-04-07
DRC0181,Client_385,CMD20193,5667.61,2024-07-05
DRC0011,Client_285,CMD10194,9497.0,2024-02-12
DRC0009,Client_106,CMD10195,5661.42,2024-05-22
DRC0022,Client_102,CMD10196,2806.84,2024-02-07
DRC0183,Client_376,CMD20197,11380.58,2024-06-18
DRC0091,Client_92,CMD10198,9974.87,2024-04-04
DRC0141,Client_362,CMD20199,2947.42,2024-01-30
DRC0181,Client_391,CMD20200,898.3,2024-01-24
DRC0054,Client_78,CMD10201,5990.66,2024-06-27
DRC0026,Client_245,CMD10202,7666.69,2024-01-26
DRC0079,Client_62,CMD10203,9370.26,2024-04-09
DRC0043,Client_101,CMD10204,5799.15,2024-01-24
DRC0047,Client_80,CMD10205,2500.54,2024-01-19
DRC0084,Client_55,CMD10206,3683.17,2024-05-04
DRC0080,Client_86,CMD10207,1131.67,2024-07-03
DRC0189,Client_399,CMD20208,6685.2,2024-01-20
DRC0060,Client_299,CMD10209,2841.39,2024-07-18
DRC0020,Client_168,CMD10210,6390.76,2024-01-29
DRC0180,Client_373,CMD20211,4001.98,2024-01-16
DRC0025,Client_265,CMD10212,8350.31,2024-04-21
DRC0064,Client_55,CMD10213,1860.75,2024-02-25
DRC0035,Client_205,CMD10214,6618.35,2024-01-03
DRC0033,Client_186,CMD10215,2560.27,2024-06-12
DRC0133,Client_373,CMD20216,2969.71,2024-06-04
DRC0078,Client_54,CMD10217,3953.54,2024-02-24
DRC0061,Client_68,CMD10218,11393.21,2024-02-04
DRC0073,Client_127,CMD10219,620.46,2024-05-04
DRC0018,Client_278,CMD10220,1193.65,2024-06-03
DRC0014,Client_214,CMD10221,2724.99,2024-06-23
DRC0123,Client_373,CMD20222,5718.25,2024-01-17
DRC0063,Client_160,CMD10223,3261.01,2024-07-13
DRC0096,Client_133,CMD10224,9266.33,2024-04-12
DRC0093,Client_202,CMD10225,10240.87,2024-05-21
DRC0089,Client_127,CMD10226,9585.75,2024-01-27
DRC0097,Client_9,CMD10227,6917.33,2024-02-24
DRC0086,Client_48,CMD10228,8636.53,2024-05-03
DRC0029,Client_234,CMD10229,2838.05,2024-02-28
DRC0011,Client_80,CMD10230,5359.81,2024-02-14
DRC0131,Client_390,CMD20231,7233.29,2024-02-14
DRC0086,Client_6,CMD10232,6870.68,2024-03-21
DRC0089,Client_15,CMD10233,2628.67,2024-01-08
DRC0093,Client_198,CMD10234,1146.52,2024-05-15
DRC0191,Client_334,CMD20235,2559.64,2024-01-04
DRC0039,Client_275,CMD10236,3875.39,2024-06-24
DRC0035,Client_18,CMD10237,8237.68,2024-04-30
DRC0014,Client_86,CMD10238,5096.74,2024-04-15
DRC0076,Client_284,CMD10239,6153.06,2024-06-04
DRC0146,Client_392,CMD20240,2611.8,2024-06-22
DRC0077,Client_131,CMD10241,8487.67,2024-04-11
DRC0073,Client_241,CMD10242,9744.77,2024-05-05
DRC0073,Client_37,CMD10243,9277.88,2024-04-02
DRC0021,Client_9,CMD10244,971.25,2024-07-19
DRC0003,Client_265,CMD10245,5127.77,2024-03-20
DRC0127,Client_344,CMD20246,1448.86,2024-05-29
DRC0095,Client_75,CMD10247,10096.68,2024-05-27
DRC0030,Client_34,CMD10248,3605.49,2024-06-25
DRC0189,Client_333,CMD20249,7618.5,2024-06-12
DRC0087,Client_118,CMD10250,5914.83,2024-04-03
DRC0012,Client_181,CMD10251,5993.23,2024-06-20
DRC0031,Client_250,CMD10252,3348.83,2024-07-15
DRC0131,Client_340,CMD20253,9581.13,2024-05-15
DRC0087,Client_87,CMD10254,10578.91,2024-05-21
DRC0018,Client_143,CMD10255,4473.55,2024-06-30
DRC0163,Client_378,CMD20256,3006.13,2024-07-01
DRC0021,Client_138,CMD10257,7775.88,2024-05-30
DRC0114,Client_367,CMD20258,10423.3,2024-05-09
DRC0015,Client_181,CMD10259,2959.79,2024-04-13
DRC0020,Client_193,CMD10260,1800.55,2024-07-09
DRC0002,Client_23,CMD10261,10789.09,2024-07-06
DRC0169,Client_392,CMD20262,9759.4,2024-03-02
DRC0027,Client_172,CMD10263,5230.92,2024-07-14
DRC0083,Client_77,CMD10264,7563.82,2024-02-28
DRC0100,Client_28,CMD10265,7501.38,2024-06-13
DRC0143,Client_344,CMD20266,7546.64,2024-01-24
DRC0077,Client_123,CMD10267,9446.9,2024-06-02
DRC0099,Client_129,CMD10268,5215.63,2024-07-12
DRC0026,Client_173,CMD10269,8087.78,2024-06-14
DRC0081,Client_16,CMD10270,11423.5,2024-03-11
DRC0148,Client_352,CMD20271,6116.02,2024-04-19
DRC0127,Client_316,CMD20272,9829.88,2024-05-25
DRC0083,Client_202,CMD10273,10544.83,2024-03-04
DRC0019,Client_297,CMD10274,11815.47,2024-04-05
DRC0048,Client_165,CMD10275,11213.87,2024-01-21
DRC0057,Client_102,CMD10276,10508.11,2024-04-11
DRC0021,Client_19,CMD10277,9403.13,2024-05-24
DRC0008,Client_265,CMD10278,9164.21,2024-05-21
DRC0083,Client_58,CMD10279,8468.45,2024-07-10
DRC0197,Client_337,CMD20280,6226.84,2024-03-05
DRC0133,Client_312,CMD20281,4280.24,2024-07-01
DRC0041,Client_166,CMD10282,7310.03,2024-06-29
DRC0038,Client_263,CMD10283,1019.71,2024-01-17
DRC0043,Client_142,CMD10284,2767.88,2024-03-29
DRC0040,Client_230,CMD10285,4112.35,2024-01-30
DRC0012,Client_166,CMD10286,9342.17,2024-02-24
DRC0070,Client_38,CMD10287,6071.36,2024-05-19
DRC0054,Client_268,CMD10288,6621.04,2024-04-07
DRC0160,Client_367,CMD20289,11256.13,2024-04-06
DRC0090,Client_106,CMD10290,1830.79,2024-02-25
DRC0087,Client_172,CMD10291,11937.49,2024-03-06
DRC0135,Client_305,CMD20292,9726.66,2024-03-05
DRC0067,Client_150,CMD10293,250.08,2024-03-11
DRC0051,Client_147,CMD10294,6994.41,2024-07-16
DRC0063,Client_52,CMD10295,5633.59,2024-01-24
DRC0041,Client_20,CMD10296,9327.53,2024-03-16
DRC0075,Client_10,CMD10297,2248.01,2024-06-15
DRC0070,Client_157,CMD10298,4130.46,2024-05-21
DRC0060,Client_5,CMD10299,6520.84,2024-06-22
DRC0087,Client_256,CMD10300,1942.67,2024-03-20
DRC0095,Client_129,CMD10301,11138.24,2024-05-14
DRC0014,Client_272,CMD10302,9604.14,2024-05-11
DRC0100,Client_30,CMD10303,1767.3,2024-02-23
DRC0159,Client_348,CMD20304,10520.82,2024-05-29
DRC0068,Client_71,CMD10305,7902.23,2024-03-07
DRC0071,Client_20,CMD10306,10476.45,2024-04-14
DRC0065,Client_51,CMD10307,9014.45,2024-06-27
DRC0068,Client_34,CMD10308,3575.62,2024-05-04
DRC0005,Client_123,CMD10309,9820.2,2024-04-25
DRC0057,Client_17,CMD10310,7205.04,2024-06-02
DRC0068,Client_192,CMD10311,9282.73,2024-04-03
DRC0023,Client_6,CMD10312,1363.75,2024-01-12
DRC0085,Client_122,CMD10313,4870.03,2024-05-22
DRC0025,Client_218,CMD10314,6142.54,2024-01-17
DRC0039,Client_55,CMD10315,7679.44,2024-07-14
DRC0097,Client_35,CMD10316,1958.25,2024-02-17
DRC0017,Client_290,CMD10317,4444.42,2024-01-27
DRC0181,Client_364,CMD20318,4432.36,2024-04-03
DRC0020,Client_283,CMD10319,642.05,2024-02-25
DRC0005,Client_235,CMD10320,8639.58,2024-05-18
DRC0093,Client_134,CMD10321,10536.61,2024-06-01
DRC0131,Client_376,CMD20322,4573.44,2024-05-11
DRC0034,Client_166,CMD10323,2165.09,2024-01-09
DRC0122,Client_374,CMD20324,5652.3,2024-05-11
DRC0026,Client_101,CMD10325,10556.21,2024-02-23
DRC0026,Client_104,CMD10326,6163.67,2024-03-22
DRC0100,Client_235,CMD10327,8756.34,2024-02-29
DRC0021,Client_77,CMD10328,3678.54,2024-02-24
DRC0019,Client_188,CMD10329,694.91,2024-03-03
DRC0030,Client_39,CMD10330,987.34,2024-04-30
DRC0073,Client_141,CMD10331,8154.78,2024-01-03
DRC0136,Client_384,CMD20332,2075.48,2024-06-01
DRC0075,Client_185,CMD10333,1853.19,2024-02-28
DRC0092,Client_195,CMD10334,4383.3,2024-05-07
DRC0017,Client_263,CMD10335,9125.05,2024-03-18
DRC0081,Client_161,CMD10336,5939.01,2024-07-12
DRC0039,Client_183,CMD10337,7265.69,2024-06-18
DRC0045,Client_199,CMD10338,7625.37,2024-04-24
DRC0182,Client_371,CMD20339,9335.17,2024-04-18
DRC0070,Client_49,CMD10340,11845.66,2024-01-01
DRC0051,Client_97,CMD10341,9925.08,2024-05-22
DRC0048,Client_5,CMD10342,395.7,2024-03-04
DRC0081,Client_127,CMD10343,6989.98,2024-01-05
DRC0012,Client_19,CMD10344,4766.46,2024-02-11
DRC0127,Client_327,CMD20345,8369.95,2024-02-10
DRC0040,Client_90,CMD10346,296.64,2024-05-26
DRC0188,Client_348,CMD20347,1591.5,2024-06-18
DRC0086,Client_263,CMD10348,10122.17,2024-02-08
DRC0076,Client_49,CMD10349,2045.54,2024-01-03
DRC0013,Client_240,CMD10350,2319.11,2024-01-08
DRC0057,Client_202,CMD10351,3031.0,2024-03-31
DRC0131,Client_378,CMD20352,1094.71,2024-02-13
DRC0003,Client_162,CMD10353,9921.28,2024-05-12
DRC0122,Client_396,CMD20354,9502.41,2024-07-11
DRC0077,Client_58,CMD10355,7482.2,2024-03-04
DRC0023,Client_9,CMD10356,6253.52,2024-02-03
DRC0037,Client_53,CMD10357,8984.14,2024-04-09
DRC0029,Client_199,CMD10358,4755.44,2024-01-18
DRC0033,Client_50,CMD10359,6508.75,2024-03-15
DRC0016,Client_205,CMD10360,3587.59,2024-03-27
DRC0092,Client_20,CMD10361,5363.83,2024-04-30
DRC0011,Client_93,CMD10362,4352.18,2024-01-15
DRC0024,Client_85,CMD10363,8322.77,2024-03-04
DRC0100,Client_271,CMD10364,8675.71,2024-02-24
DRC0015,Client_215,CMD10365,3976.59,2024-06-29
DRC0011,Client_20,CMD10366,1795.39,2024-04-05
DRC0015,Client_131,CMD10367,10522.23,2024-07-14
DRC0079,Client_23,CMD10368,351.9,2024-01-07
DRC0028,Client_95,CMD10369,8642.39,2024-03-03
DRC0007,Client_141,CMD10370,3319.84,2024-02-04
DRC0043,Client_245,CMD10371,5128.01,2024-05-16
DRC0011,Client_72,CMD10372,7895.76,2024-03-09
DRC0032,Client_132,CMD10373,7794.92,2024-03-10
DRC0125,Client_373,CMD20374,2363.04,2024-06-14
DRC0013,Client_23,CMD10375,8439.89,2024-04-15
DRC0175,Client_368,CMD20376,8617.7,2024-05-09
DRC0049,Client_253,CMD10377,1475.48,2024-03-10
DRC0031,Client_204,CMD10378,9674.75,2024-01-01
DRC0015,Client_62,CMD10379,10047.61,2024-02-06
DRC0181,Client_320,CMD20380,9914.38,2024-04-04
DRC0027,Client_68,CMD10381,179.46,2024-01-17
DRC0023,Client_79,CMD10382,6215.33,2024-05-06
DRC0092,Client_132,CMD10383,3567.08,2024-03-14
DRC0166,Client_332,CMD20384,7197.12,2024-06-07
DRC0027,Client_88,CMD10385,10017.4,2024-04-08
DRC0017,Client_33,CMD10386,8686.27,2024-06-27
DRC0051,Client_129,CMD10387,2332.36,2024-06-13
DRC0038,Client_55,CMD10388,4465.91,2024-05-11
DRC0087,Client_122,CMD10389,4778.97,2024-06-14
DRC0047,Client_69,CMD10390,835.58,2024-03-11
DRC0091,Client_31,CMD10391,9139.25,2024-06-07
DRC0048,Client_290,CMD10392,2646.49,2024-04-22
DRC0083,Client_66,CMD10393,7944.18,2024-03-08
DRC0184,Client_322,CMD20394,5382.34,2024-05-01
DRC0050,Client_5,CMD10395,11437.76,2024-03-30
DRC0094,Client_216,CMD10396,6148.54,2024-01-01
DRC0047,Client_87,CMD10397,8991.49,2024-06-25
DRC0112,Client_321,CMD20398,3671.92,2024-03-16
DRC0019,Client_233,CMD10399,11136.82,2024-06-25
DRC0010,Client_133,CMD10400,11635.22,2024-01-16
DRC0153,Client_398,CMD20401,9697.66,2024-06-20
DRC0008,Client_75,CMD10402,1253.74,2024-04-19
DRC0007,Client_101,CMD10403,6474.16,2024-07-17
DRC0076,Client_118,CMD10404,6262.07,2024-07-04
DRC0031,Client_284,CMD10405,11033.85,2024-03-07
DRC0055,Client_226,CMD10406,1041.23,2024-04-23
DRC0023,Client_216,CMD10407,2271.79,2024-03-01
DRC0079,Client_80,CMD10408,1946.06,2024-07-03
DRC0037,Client_75,CMD10409,9023.6,2024-06-08
DRC0056,Client_284,CMD10410,2835.18,2024-06-15
DRC0002,Client_79,CMD10411,6000.2,2024-05-25
DRC0091,Client_160,CMD10412,818.65,2024-07-18
DRC0034,Client_15,CMD10413,5198.32,2024-05-01
DRC0134,Client_304,CMD20414,5586.1,2024-07-06
DRC0044,Client_89,CMD10415,403.5,2024-05-31
DRC0035,Client_161,CMD10416,7736.86,2024-04-04
DRC0019,Client_250,CMD10417,11480.08,2024-07-14
DRC0070,Client_54,CMD10418,11509.33,2024-05-13
DRC0189,Client_363,CMD20419,7983.79,2024-05-03
DRC0015,Client_4,CMD10420,1141.52,2024-06-15
DRC0148,Client_316,CMD20421,2904.78,2024-06-08
DRC0070,Client_227,CMD10422,11113.6,2024-02-11
DRC0120,Client_342,CMD20423,11941.76,2024-05-04
DRC0089,Client_134,CMD10424,951.17,2024-04-03
DRC0038,Client_250,CMD10425,2429.62,2024-07-14
DRC0073,Client_45,CMD10426,12157.07,2024-06-08
DRC0001,Client_120,CMD10427,8888.43,2024-03-31
DRC0024,Client_274,CMD10428,4707.96,2024-07-14
DRC0093,Client_188,CMD10429,6936.73,2024-05-27
DRC0056,Client_289,CMD10430,6270.13,2024-07-17
DRC0056,Client_204,CMD10431,9997.89,2024-01-16
DRC0065,Client_270,CMD10432,7832.16,2024-05-05
DRC0027,Client_78,CMD10433,4011.37,2024-06-14
DRC0089,Client_89,CMD10434,3595.66,2024-04-17
DRC0009,Client_213,CMD10435,7654.88,2024-07-18
DRC0021,Client_51,CMD10436,10056.39,2024-03-23
DRC0050,Client_232,CMD10437,2697.43,2024-01-25
DRC0046,Client_226,CMD10438,3598.04,2024-07-11
DRC0039,Client_256,CMD10439,9469.72,2024-06-30
DRC0047,Client_33,CMD10440,8281.06,2024-04-28
DRC0165,Client_361,CMD20441,10893.75,2024-03-22
DRC0057,Client_141,CMD10442,8080.38,2024-06-12
DRC0005,Client_130,CMD10443,9465.57,2024-04-16
DRC0051,Client_27,CMD10444,11867.64,2024-04-17
DRC0079,Client_161,CMD10445,8136.83,2024-05-12
DRC0029,Client_254,CMD10446,9108.45,2024-02-23
DRC0090,Client_143,CMD10447,4701.8,2024-03-05
DRC0155,Client_373,CMD20448,8189.93,2024-02-23
DRC0017,Client_272,CMD10449,3859.02,2024-03-27
DRC0074,Client_90,CMD10450,1157.73,2024-02-27
DRC0067,Client_225,CMD10451,5142.14,2024-02-13
DRC0044,Client_220,CMD10452,5125.84,2024-05-28
DRC0072,Client_17,CMD10453,2145.27,2024-06-22
DRC0136,Client_314,CMD20454,4367.4,2024-06-19
DRC0096,Client_55,CMD10455,545.74,2024-01-21
DRC0018,Client_65,CMD10456,2029.58,2024-05-03
DRC0007,Client_206,CMD10457,7270.2,2024-03-25
DRC0086,Client_241,CMD10458,10783.46,2024-07-04
DRC0034,Client_221,CMD10459,10260.55,2024-05-17
DRC0018,Client_28,CMD10460,2049.4,2024-04-10
DRC0169,Client_349,CMD20461,11240.26,2024-01-22
DRC0176,Client_357,CMD20462,6449.74,2024-04-01
DRC0013,Client_298,CMD10463,7641.89,2024-01-22
DRC0097,Client_261,CMD10464,3518.21,2024-02-01
DRC0009,Client_235,CMD10465,11600.84,2024-01-28
DRC0036,Client_286,CMD10466,11747.07,2024-04-03
DRC0123,Client_370,CMD20467,406.58,2024-03-16
DRC0036,Client_151,CMD10468,1998.03,2024-04-26
DRC0170,Client_308,CMD20469,8635.58,2024-07-05
DRC0069,Client_259,CMD10470,7823.27,2024-02-15
DRC0098,Client_206,CMD10471,12167.81,2024-02-27
DRC0030,Client_209,CMD10472,5313.33,2024-04-02
DRC0006,Client_171,CMD10473,2998.21,2024-01-08
DRC0121,Client_350,CMD20474,2000.89,2024-07-09
DRC0057,Client_147,CMD10475,2932.75,2024-05-23
DRC0148,Client_340,CMD20476,11928.18,2024-06-28
DRC0095,Client_109,CMD10477,405.14,2024-03-16
DRC0076,Client_173,CMD10478,1466.21,2024-03-28
DRC0094,Client_112,CMD10479,7277.28,2024-07-17
DRC0033,Client_300,CMD10480,11470.64,2024-05-18
